"","ISO3","AGE GROUPS","TBI.prev.2001","TBI.prev.2006","TBI.prev.2011","TBI.prev.2016"
"242","CZE","15-24",0.0144464329957029,0.00999351359039362,0.0079141212958385,0.00612076212533058
"243","CZE","25-54",0.118750319155024,0.0859846114082525,0.0567728395967241,0.0395050373956651
"244","CZE","55-64",0.342631962840831,0.260390143596121,0.163065445034343,0.141513235326451
"245","CZE","65+",0.613528740721556,0.529892736175249,0.411310352997632,0.333080977538086
"246","DEU","0-14",0.00345677598304248,0.00267306728545932,0.00196609541905841,0.0016957048266447
"247","DEU","15-24",0.0109013726842734,0.00817349277849588,0.00645072024536884,0.00501467235320292
"248","DEU","25-54",0.0729178113906186,0.0529961778039904,0.0380263166096387,0.0283570903328934
"249","DEU","55-64",0.213709647193633,0.140615899794296,0.0996271370504338,0.0793891367488586
"250","DEU","65+",0.45631091111634,0.38455045168634,0.267486549853872,0.215888702853679
"251","DJI","0-14",0.0689723717920346,0.0581416492934729,0.0722412710436778,0.0929518557983381
"252","DJI","15-24",0.213751147404178,0.142300660300946,0.197637749345972,0.156346370947061
"253","DJI","25-54",0.497940252234116,0.467849210814517,0.421858150538663,0.410903776644092
"254","DJI","55-64",0.704071516067833,0.604786603482976,NA,0.551859009247951
"255","DJI","65+",NA,0.75790904929321,0.767944936559869,0.719953790103884
"256","DMA","0-14",0.00323232934164101,0.00221742760249476,0.00282036860012324,0.00267081858962911
"257","DMA","15-24",0.0118100367387143,0.00811072284270501,0.00677201266984322,0.00579990650669946
"258","DMA","25-54",0.43469639374027,0.301867870297487,0.183222980113919,0.0920049726306643
"259","DMA","55-64",0.99447933406845,0.937176089125161,0.74451946064711,0.559120464424419
"260","DMA","65+",0.999628176590176,0.999997356211824,0.983660694602111,0.924582375801135
"261","DNK","0-14",0.0024425373244937,0.0023236812731015,0.00198677028964605,0.00173786355416889
"262","DNK","15-24",0.00629071828054556,0.0053721777817392,0.00479459807908396,0.00470161987835271
"263","DNK","25-54",0.0270373448272762,0.0219831058614296,0.0167671953336978,0.0140955002063889
"264","DNK","55-64",0.0516025729311823,0.0431657648100125,0.0352741286329568,0.0289606408382245
"265","DNK","65+",0.0934509312179559,0.0814569301049815,0.0653651942747075,0.053449716088388
"266","DOM","0-14",0.0235548408081919,0.0179278373668607,0.0156292763233774,0.0126154757923611
"267","DOM","15-24",0.0930646896035977,0.0638221505487538,0.0493550933075038,0.0410323343754572
"268","DOM","25-54",0.454836114992361,0.363949795370171,0.283923492821464,0.223741719975059
"269","DOM","55-64",0.874085678639769,0.790935677576076,0.663528012850893,0.553009429264518
"270","DOM","65+",0.984848150534089,0.96594574780052,0.916487779570756,0.844386072771652
"271","DZA","0-14",0.0154588071281158,0.0154061436692283,0.015524397167649,0.0133862352776411
"272","DZA","15-24",0.0564046474573273,0.0389147190298627,0.0348447471044577,0.0297296009103956
"273","DZA","25-54",0.278977851578376,0.223920903480026,0.177537181640208,0.139551905276717
"274","DZA","55-64",0.57250416334987,0.49668649751429,0.417487951024522,0.34189637140992
"275","DZA","65+",0.802435749319447,0.747091494745884,0.610518046972186,0.553504168362307
"276","ECU","0-14",0.0216073961038249,0.0185311060219872,0.0142818153868044,0.00977363149919035
